pid,hourly_wage,bonus,overtime_rate
1055,59.22,208.85,71.64
381,62.88,285.35,60.35
1160,49.51,113.43,50.74
64,54.46,139.9,81.98
987,56.69,296.23,96.82
609,45.35,151.57,57.7
356,69.78,256.77,76.68
837,51.23,238.79,54.44
1182,56.99,174.73,92.93
638,50.36,281.56,90.28
320,56.61,164.24,98.82
886,50.39,244.85,63.01
383,51.15,161.13,73.2
871,66.99,218.23,95.21
607,56.23,137.28,98.79
1124,43.73,200.88,81.06
40,50.16,218.46,77.54
188,45.67,250.89,96.65
785,53.37,275.1,95.2
504,58.62,263.16,61.52
471,48.82,103.26,85.06
119,60.15,283.77,95.71
955,54.26,197.86,78.22
355,57.04,182.79,73.08
22,66.76,116.43,55.89
744,40.11,208.94,87.8
421,65.12,215.96,61.42
798,67.69,232.17,81.98
771,61.0,170.38,78.24
292,53.28,185.33,87.49
903,56.71,270.93,70.77
1087,47.93,163.16,69.45
767,56.98,178.72,96.65
867,41.23,259.26,72.74
676,54.74,203.94,82.08
343,61.76,252.08,64.22
953,57.98,243.42,99.29
1150,48.26,168.95,91.83
307,44.38,228.68,91.97
764,47.74,184.27,95.56
652,47.34,206.22,77.28
1196,48.8,193.11,66.65
995,43.84,219.59,71.41
647,60.83,237.63,60.61
242,46.26,228.26,96.32
43,62.07,152.73,75.73
329,44.12,163.45,65.33
1063,66.25,268.48,50.68
353,45.55,227.95,57.44
426,62.09,248.88,80.74
891,61.51,178.33,68.04
830,68.75,187.58,99.92
655,57.7,192.92,64.75
905,43.19,167.71,68.69
904,61.67,195.2,88.5
436,44.57,235.88,94.54
780,65.18,261.54,72.81
1103,45.21,288.32,86.24
956,64.72,118.9,57.36
150,68.06,276.57,78.93
846,44.51,259.55,75.94
836,54.66,297.42,71.27
380,66.52,256.29,72.07
173,65.98,163.66,97.84
499,47.03,158.12,70.52
306,63.66,248.44,89.83
419,55.77,104.74,82.09
763,60.36,123.0,54.7
95,58.57,292.63,60.92
105,43.99,105.42,95.42
