pid,monthly_wage,overtime_rate,vacation_days
946,9293.37,181.17,12
732,7406.88,114.35,29
622,9820.25,177.37,13
127,7988.9,132.63,22
853,7484.34,161.46,10
337,8554.94,119.65,13
532,7400.84,101.19,27
530,10032.62,162.73,27
464,7329.28,140.41,28
447,7815.87,116.6,30
654,11103.45,176.79,12
948,11716.0,107.12,15
608,9021.85,151.92,25
988,9180.91,193.48,16
345,7126.64,136.64,15
54,7900.03,117.68,24
254,11774.49,172.5,22
102,9267.95,118.08,18
1200,10122.77,129.8,30
794,10891.04,151.3,18
884,7056.06,167.21,14
1149,10100.19,163.47,19
1145,9436.5,174.55,19
203,10459.85,155.36,24
193,7477.92,152.78,21
1115,7340.68,133.25,20
1198,7440.63,101.42,26
194,7837.23,139.24,14
783,8179.85,109.87,23
774,9896.46,191.8,19
993,7187.56,180.22,21
1179,10676.37,127.58,27
779,11376.85,133.63,26
69,11716.91,183.53,27
1146,8071.86,130.17,13
835,10125.09,194.49,15
506,9284.99,100.28,12
3,10576.54,135.96,24
276,11768.25,187.48,11
1143,7866.3,154.37,30
414,10360.68,127.39,23
882,7443.49,143.21,26
1086,8309.94,108.11,10
596,9279.43,121.95,20
229,10209.18,160.86,16
1081,11946.48,189.75,13
133,8196.04,107.98,12
1025,7928.0,171.31,19
250,9835.72,190.29,24
620,11653.91,130.59,15
349,8067.79,141.88,19
223,8037.02,189.24,24
560,7910.49,127.01,12
810,8485.76,157.1,25
556,10488.38,112.28,18
107,7293.55,179.49,13
828,11056.95,161.07,21
370,10954.42,181.71,24
703,10744.09,157.33,11
311,10417.7,109.96,18
393,8573.49,130.04,17
969,11153.8,109.88,23
346,11144.88,140.4,18
1016,9419.11,162.56,22
588,10785.54,158.82,13
1047,9656.84,139.57,27
1107,9329.84,157.7,30
977,10573.7,146.98,12
755,7309.06,109.87,28
860,10895.77,193.25,17
416,9548.57,177.63,22
523,7596.07,112.68,26
312,9540.5,143.2,28
1039,9567.28,109.65,21
775,10264.71,142.21,11
264,11121.52,175.6,30
797,10514.33,161.47,13
382,8415.94,124.99,13
1190,7021.22,162.71,24
405,11190.54,127.17,10
776,9286.26,172.91,29
549,11730.33,147.52,30
65,10804.23,103.07,18
387,8418.92,185.65,10
939,7133.31,126.87,15
407,8917.87,102.02,20
1045,11377.45,180.7,12
450,7203.76,189.43,30
111,9673.79,198.67,12
792,11042.44,166.41,18
690,10097.52,171.07,26
586,7172.18,183.82,13
433,7323.21,175.27,20
184,8730.89,103.34,27
16,10375.1,194.64,29
1050,8746.73,174.5,18
440,11979.0,122.86,16
751,7344.07,101.45,19
342,11452.72,159.08,25
990,7609.01,149.76,17
843,7526.19,190.98,17
477,10225.55,193.52,21
93,8019.87,172.87,18
297,9020.52,130.47,27
1020,9794.13,114.88,25
394,10972.45,190.61,22
787,9123.93,145.87,19
505,11407.24,175.51,13
456,9949.75,175.11,12
962,7288.47,156.99,22
575,10960.91,105.79,15
1135,9732.58,106.01,21
1155,10837.06,132.32,24
1054,10519.73,173.76,28
247,9487.1,116.33,15
895,9667.78,127.91,13
210,11760.98,104.49,11
415,10192.42,109.95,26
106,10862.67,114.4,18
938,9197.3,168.63,28
1178,8038.42,133.77,24
911,10784.26,135.53,22
352,9445.5,112.31,12
531,10169.05,196.05,27
727,8618.13,157.19,16
94,7527.12,125.27,10
745,11645.78,134.38,13
748,11818.44,167.7,23
140,11443.29,142.99,30
363,7389.46,135.21,27
592,10327.68,114.91,13
239,7767.13,127.21,29
856,9544.86,120.94,22
681,10049.53,127.85,11
1058,9006.54,182.02,28
989,8756.9,136.69,21
804,7704.9,174.37,19
769,11222.29,174.27,26
85,10155.59,120.47,11
742,11621.63,127.9,29
1004,9008.23,126.31,16
644,9818.61,131.36,16
981,7236.61,197.07,26
1110,8107.97,147.57,15
738,9694.52,137.58,21
1136,8507.87,151.54,20
461,8569.45,199.58,25
1013,7486.71,138.17,11
693,7610.37,196.22,11
216,11105.79,140.3,19
715,11652.58,142.37,10
539,11277.81,190.48,11
543,9642.8,157.58,25
1017,7101.23,129.06,13
522,11824.64,146.06,17
949,9690.6,130.61,19
924,9182.89,153.31,10
1105,11673.08,100.1,13
