pid,service_name,service_date_begin,service_end_date
261,Post-Construction Cleanup,2025-01-13,2025-01-15
261,Room Cleaning,2024-12-27,2024-12-30
261,Furniture Treatment,2024-12-25,2024-12-27
134,Carpet Shampooing,2025-01-23,2025-01-26
360,Furniture Treatment,2024-12-09,2024-12-11
628,Post-Construction Cleanup,2025-02-20,2025-02-22
628,Move-In Cleaning,2025-01-21,2025-01-23
628,Wall Washing,2025-02-05,2025-02-07
1048,Carpet Shampooing,2025-03-27,2025-03-29
257,Window Washing,2025-04-28,2025-04-29
257,Carpet Shampooing,2025-03-06,2025-03-08
257,Furniture Treatment,2025-02-21,2025-02-23
838,Post-Construction Cleanup,2025-03-29,2025-03-30
838,Bathroom Sanitizing,2025-01-29,2025-01-31
838,Window Washing,2024-11-07,2024-11-09
671,Furniture Treatment,2025-02-16,2025-02-18
568,Furniture Treatment,2025-05-08,2025-05-09
568,Deep Disinfection,2024-11-15,2024-11-18
376,Move-In Cleaning,2025-01-25,2025-01-28
187,Move-In Cleaning,2024-11-25,2024-11-28
187,Bathroom Sanitizing,2024-11-12,2024-11-15
187,Floor Polishing,2025-02-15,2025-02-17
739,Post-Construction Cleanup,2025-03-30,2025-04-01
739,Carpet Shampooing,2024-11-25,2024-11-27
291,Move-In Cleaning,2024-11-17,2024-11-18
103,Furniture Treatment,2025-02-02,2025-02-03
103,Floor Polishing,2025-01-22,2025-01-25
9,Window Washing,2025-04-17,2025-04-19
9,Floor Polishing,2024-11-24,2024-11-27
172,Furniture Treatment,2025-04-07,2025-04-08
172,Bathroom Sanitizing,2025-05-05,2025-05-06
66,Room Cleaning,2025-04-11,2025-04-14
598,Post-Construction Cleanup,2024-12-25,2024-12-28
224,Wall Washing,2025-02-13,2025-02-16
401,Window Washing,2025-02-13,2025-02-14
401,Bathroom Sanitizing,2025-02-23,2025-02-26
408,Wall Washing,2025-04-05,2025-04-07
408,Room Cleaning,2025-02-13,2025-02-14
408,Bathroom Sanitizing,2025-04-15,2025-04-16
741,Floor Polishing,2025-01-07,2025-01-08
741,Room Cleaning,2025-03-11,2025-03-12
741,Move-In Cleaning,2025-02-10,2025-02-12
632,Deep Disinfection,2024-11-09,2024-11-10
632,Carpet Shampooing,2024-12-08,2024-12-10
1092,Room Cleaning,2024-11-20,2024-11-21
1187,Floor Polishing,2025-04-19,2025-04-20
1187,Post-Construction Cleanup,2025-04-05,2025-04-06
1187,Move-In Cleaning,2024-12-10,2024-12-12
799,Move-In Cleaning,2025-03-11,2025-03-12
147,Floor Polishing,2025-01-12,2025-01-14
1042,Deep Disinfection,2025-02-08,2025-02-09
957,Post-Construction Cleanup,2025-02-19,2025-02-21
957,Move-In Cleaning,2024-11-30,2024-12-02
18,Window Washing,2025-04-22,2025-04-25
432,Deep Disinfection,2024-12-07,2024-12-08
432,Move-In Cleaning,2024-11-23,2024-11-26
901,Carpet Shampooing,2024-12-20,2024-12-22
